REF_DATE,"Apple juice, 1.36 litres","Apples, 1 kilogram","Baby food, 128 millilitres","Bacon, 500 grams","Baked beans, canned, 398 millilitres","Bananas, 1 kilogram",Bathroom tissue (4 rolls),"Blade roast, 1 kilogram","Bread, 675 grams","Butter, 454 grams","Canned salmon, 213 grams","Carrots, 1 kilogram","Chicken, 1 kilogram",Cigarettes (200),"Coffee, instant, 200 grams","Coffee, roasted, 300 grams","Cooking or salad oil, 1 litre","Corn flakes, 675 grams","Deodorant, 60 grams","Eggs, 1 dozen","Evaporated milk, 385 millilitres",Facial tissue (200 tissues),"Flour, 2.5 kilograms","French fried potatoes, frozen, 1 kilogram","Ground beef, 1 kilogram","Homogenized milk, 4 litres","Ketchup, 1 litre","Macaroni, 500 grams","Mushrooms, 1 kilogram","Onions, 1 kilogram","Orange juice, 1 litre","Oranges, 1 kilogram",Paper towels (2 rolls),"Partly skimmed milk, 4 litres","Peanut butter, 500 grams","Pork chops, 1 kilogram","Potatoes, 4.54 kilograms","Prime rib roast, 1 kilogram","Processed cheese slices, 250 grams","Regular, unleaded gasoline at self-service stations, cents per litre","Round steak, 1 kilogram","Shampoo, 300 millilitres","Sirloin steak, 1 kilogram","Soda crackers, 450 grams","Soup, canned, 284 millilitres","Stewing beef, 1 kilogram","Sugar, white, 2 kilograms",Tea (72 bags),"Tomato juice, 1.36 litres","Tomatoes, canned, 796 millilitres","Toothpaste, 100 millilitres","Wieners, 450 grams"
2013-07,2.461,4.5885,0.9544999999999999,5.933999999999999,1.38,1.8974999999999997,3.0014999999999996,13.983999999999998,3.3005,5.0255,4.3469999999999995,2.1275,8.165,99.26799999999999,7.497999999999999,6.739,4.749499999999999,5.6579999999999995,4.968,3.7604999999999995,2.1505,2.576,5.772999999999999,2.783,10.775499999999997,,3.7489999999999997,1.5984999999999998,9.1885,2.1965,4.438999999999999,3.6914999999999996,3.0704999999999996,,4.105499999999999,12.753499999999999,7.1185,26.921499999999998,3.1969999999999996,152.48999999999998,16.525499999999997,4.3815,20.170999999999996,3.151,1.1844999999999999,13.2825,3.5189999999999997,5.048499999999999,2.8175,1.7134999999999998,2.7944999999999998,3.9444999999999997
2013-08,2.4724999999999997,4.6805,0.9659999999999999,6.026,1.4375,1.8859999999999997,2.9324999999999997,13.834499999999998,3.312,5.129,4.484999999999999,2.0355,8.372,99.33699999999999,7.2219999999999995,6.739,4.760999999999999,5.704,4.944999999999999,3.7489999999999997,2.231,2.5875,6.0835,2.7139999999999995,10.775499999999997,,3.8524999999999996,1.5869999999999997,9.016,2.3114999999999997,4.4735,3.6914999999999996,3.0014999999999996,,4.036499999999999,12.615499999999999,7.452,27.323999999999998,3.2199999999999998,150.87999999999997,16.7095,4.393,20.009999999999998,3.105,1.2075,13.248,3.4959999999999996,4.944999999999999,2.783,1.7594999999999998,2.7255,3.9559999999999995
2013-09,2.392,4.5655,0.9774999999999999,6.3134999999999994,1.3915,1.8285,3.0475,13.915,3.2199999999999998,5.129,4.5424999999999995,1.9434999999999998,8.1305,99.34849999999999,7.6705,6.785,4.703499999999999,5.727,5.06,3.703,2.1734999999999998,2.6334999999999997,5.8534999999999995,2.7485,10.924999999999999,,3.6224999999999996,1.5984999999999998,9.119499999999999,2.2194999999999996,4.703499999999999,3.5189999999999997,3.013,,4.0135,12.879999999999999,6.865499999999999,27.2205,3.2429999999999994,149.845,16.491,4.4735,20.6195,3.0934999999999997,1.1844999999999999,13.1215,3.5074999999999994,4.887499999999999,2.7944999999999998,1.7134999999999998,2.7485,3.9215
2013-10,2.4494999999999996,4.508,0.9659999999999999,6.290499999999999,1.4144999999999999,1.9204999999999999,2.9784999999999995,13.788499999999999,3.2659999999999996,5.1175,4.898999999999999,1.8859999999999997,8.360499999999998,99.728,7.6129999999999995,6.7505,4.622999999999999,5.9225,4.956499999999999,3.726,2.093,2.6565,5.7155,2.8289999999999997,10.970999999999998,,3.7834999999999996,1.5869999999999997,9.1655,2.07,4.6114999999999995,3.5994999999999995,2.9555,,4.105499999999999,12.971999999999998,6.485999999999999,26.254499999999997,3.2085,142.36999999999998,16.514,4.4045,21.010499999999997,3.0244999999999997,1.1615,13.1905,3.3925,5.0714999999999995,2.6219999999999994,1.6905,2.6795,4.117
2013-11,2.3345,4.393,0.9544999999999999,6.186999999999999,1.38,1.8744999999999998,3.0475,13.788499999999999,3.3349999999999995,5.094499999999999,5.037,1.9204999999999999,8.038499999999999,99.613,7.406,6.658499999999999,4.7379999999999995,5.727,5.0255,3.7949999999999995,2.07,2.6795,5.8305,2.7485,10.879,,3.9099999999999997,1.541,9.016,2.0469999999999997,4.703499999999999,3.6224999999999996,2.9899999999999998,,4.048,12.741999999999999,6.4285,27.323999999999998,3.2429999999999994,140.875,16.9855,4.427499999999999,21.090999999999998,3.0475,1.15,12.983499999999998,3.473,5.106,2.7485,1.6789999999999998,2.783,4.162999999999999
2013-12,2.415,4.4045,0.9774999999999999,6.152499999999999,1.426,1.8744999999999998,2.9669999999999996,13.777,3.2775,5.0714999999999995,5.106,1.8974999999999997,8.049999999999999,99.544,6.968999999999999,6.6125,4.7379999999999995,5.7844999999999995,4.9334999999999996,3.7375,2.1045,2.7369999999999997,5.566,2.8405,11.0055,,3.8985,1.541,9.107999999999999,2.0585,4.646,3.5879999999999996,2.9555,,4.105499999999999,12.695999999999998,6.233,27.369999999999997,3.2429999999999994,142.48499999999999,16.755499999999998,4.4045,20.941499999999998,3.0589999999999997,1.15,13.11,3.3349999999999995,5.0255,2.7255,1.6905,2.76,4.174499999999999
2014-01,2.3114999999999997,4.301,0.9774999999999999,6.302,1.3339999999999999,1.8859999999999997,2.921,13.7655,3.2544999999999997,4.991,5.175,1.8515,8.061499999999999,99.62449999999998,7.2795,6.658499999999999,4.7379999999999995,5.531499999999999,5.037,3.7719999999999994,2.1965,2.7369999999999997,5.991499999999999,2.783,11.235499999999998,,3.8985,1.5525,9.107999999999999,1.9665,4.358499999999999,3.4499999999999997,2.921,,3.9559999999999995,12.764999999999999,6.186999999999999,27.1515,3.1739999999999995,142.48499999999999,16.778499999999998,4.484999999999999,21.022,2.9669999999999996,1.1384999999999998,13.052499999999998,3.4499999999999997,5.106,2.7715,1.7249999999999999,2.7944999999999998,4.14
2014-02,2.415,4.427499999999999,0.9774999999999999,6.256,1.3915,1.9089999999999998,2.8979999999999997,14.708499999999997,3.3234999999999997,5.037,5.152,1.9549999999999998,8.096,103.03999999999999,7.428999999999999,6.4975,4.7265,5.761499999999999,5.037,3.7834999999999996,2.1505,2.7715,5.945499999999999,2.8059999999999996,11.4885,,3.9559999999999995,1.541,9.062,2.1045,4.4965,3.8754999999999997,2.9324999999999997,,4.117,12.995,6.3595,28.795999999999996,3.1969999999999996,145.935,17.9285,4.427499999999999,21.918999999999997,3.0244999999999997,1.1615,14.351999999999999,3.3349999999999995,5.0255,2.7944999999999998,1.6789999999999998,2.8289999999999997,4.117
2014-03,2.3345,4.5424999999999995,1.0005,6.382499999999999,1.3915,1.9319999999999997,2.8864999999999994,15.628499999999999,3.2314999999999996,5.1979999999999995,5.106,2.1275,8.061499999999999,106.01849999999999,7.394499999999999,6.3595,4.7265,5.772999999999999,4.887499999999999,3.7375,2.162,2.7485,5.8765,2.76,12.005999999999998,,3.7719999999999994,1.5755,9.2805,2.2194999999999996,4.2435,3.9789999999999996,2.9669999999999996,,4.048,12.925999999999998,6.4285,29.095,3.2085,151.10999999999999,18.089499999999997,4.3815,22.470999999999997,3.036,1.1844999999999999,14.812,3.404,5.0714999999999995,2.7715,1.6674999999999998,2.76,4.14
2014-04,2.415,4.553999999999999,1.0234999999999999,6.5435,1.426,1.9434999999999998,2.9669999999999996,16.0655,3.3579999999999997,5.2669999999999995,5.289999999999999,2.231,8.176499999999999,106.81199999999998,7.4864999999999995,6.3709999999999996,4.703499999999999,5.7155,4.922,3.7949999999999995,2.116,2.7485,5.566,2.7715,11.982999999999999,,3.7604999999999995,1.5755,9.1655,2.553,4.4159999999999995,3.8295,2.9784999999999995,,4.093999999999999,13.9035,6.3709999999999996,28.956999999999997,3.2314999999999996,154.445,18.4115,4.427499999999999,23.137999999999998,3.0704999999999996,1.1844999999999999,15.203,3.2775,5.0024999999999995,2.6679999999999997,1.6674999999999998,2.7944999999999998,4.3469999999999995
